Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-14,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3417668,2017-01-14,global,
2017-01-14,6,Closer,The Chainsmokers,3036772,2017-01-14,global,
2017-01-14,7,Paris,The Chainsmokers,2981107,2017-01-14,global,
2017-01-14,8,Don't Wanna Know,Maroon 5,2749116,2017-01-14,global,
2017-01-14,9,Fake Love,Drake,2744910,2017-01-14,global,
2017-01-14,10,I Feel It Coming,The Weeknd,2733709,2017-01-14,global,
2017-01-15,1,Shape of You,Ed Sheeran,6451891,2017-01-15,global,
2017-01-15,2,Castle on the Hill,Ed Sheeran,3581077,2017-01-15,global,
2017-01-15,3,Starboy,The Weeknd,3203886,2017-01-15,global,
2017-01-15,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3087541,2017-01-15,global,
2017-01-15,5,Paris,The Chainsmokers,3025149,2017-01-15,global,
2017-01-15,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2983295,2017-01-15,global,
2017-01-15,7,Closer,The Chainsmokers,2643320,2017-01-15,global,
2017-01-15,8,Say You Won't Let Go,James Arthur,2522282,2017-01-15,global,
2017-01-15,9,Fake Love,Drake,2488201,2017-01-15,global,
2017-01-15,10,Don't Wanna Know,Maroon 5,2439527,2017-01-15,global,
2017-01-16,1,Shape of You,Ed Sheeran,7071702,2017-01-16,global,
2017-01-16,2,Castle on the Hill,Ed Sheeran,3833973,2017-01-16,global,
2017-01-16,3,Paris,The Chainsmokers,3440753,2017-01-16,global,
2017-01-16,4,Starboy,The Weeknd,3361644,2017-01-16,global,
2017-01-16,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3324763,2017-01-16,global,
2017-01-16,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3145273,2017-01-16,global,
2017-01-16,7,Closer,The Chainsmokers,2758818,2017-01-16,global,
2017-01-16,8,Say You Won't Let Go,James Arthur,2655248,2017-01-16,global,
2017-01-16,9,Don't Wanna Know,Maroon 5,2585126,2017-01-16,global,
2017-01-16,10,Fake Love,Drake,2557129,2017-01-16,global,
2017-01-17,1,Shape of You,Ed Sheeran,7086602,2017-01-17,global,
2017-01-17,2,Paris,The Chainsmokers,3782866,2017-01-17,global,
2017-01-17,3,Castle on the Hill,Ed Sheeran,3782858,2017-01-17,global,
2017-01-17,4,Starboy,The Weeknd,3410825,2017-01-17,global,
2017-01-17,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3410496,2017-01-17,global,
2017-01-17,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3182849,2017-01-17,global,
2017-01-17,7,Closer,The Chainsmokers,2820997,2017-01-17,global,
2017-01-17,8,Say You Won't Let Go,James Arthur,2714671,2017-01-17,global,
2017-01-17,9,Don't Wanna Know,Maroon 5,2602569,2017-01-17,global,
2017-01-17,10,I Feel It Coming,The Weeknd,2593935,2017-01-17,global,
2017-01-18,1,Shape of You,Ed Sheeran,7153915,2017-01-18,global,
2017-01-18,2,Paris,The Chainsmokers,3856703,2017-01-18,global,
2017-01-18,3,Castle on the Hill,Ed Sheeran,3734916,2017-01-18,global,
2017-01-18,4,Starboy,The Weeknd,3455609,2017-01-18,global,
2017-01-18,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3417561,2017-01-18,global,
2017-01-18,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3226728,2017-01-18,global,
2017-01-18,7,Closer,The Chainsmokers,2853742,2017-01-18,global,
2017-01-18,8,Say You Won't Let Go,James Arthur,2747685,2017-01-18,global,
2017-01-18,9,I Feel It Coming,The Weeknd,2655959,2017-01-18,global,
2017-01-18,10,Don't Wanna Know,Maroon 5,2628633,2017-01-18,global,
2017-01-19,1,Shape of You,Ed Sheeran,7133303,2017-01-19,global,
2017-01-19,2,Paris,The Chainsmokers,3931800,2017-01-19,global,
2017-01-19,3,Castle on the Hill,Ed Sheeran,3655899,2017-01-19,global,
2017-01-19,4,Starboy,The Weeknd,3447653,2017-01-19,global,
2017-01-19,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3416023,2017-01-19,global,
2017-01-19,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3216267,2017-01-19,global,
2017-01-19,7,Closer,The Chainsmokers,2852922,2017-01-19,global,
2017-01-19,8,Say You Won't Let Go,James Arthur,2738449,2017-01-19,global,
2017-01-19,9,I Feel It Coming,The Weeknd,2665185,2017-01-19,global,
2017-01-19,10,Don't Wanna Know,Maroon 5,2600405,2017-01-19,global,
2017-01-20,1,Shape of You,Ed Sheeran,7299280,2017-01-20,global,
2017-01-20,2,Paris,The Chainsmokers,4028067,2017-01-20,global,
2017-01-20,3,Castle on the Hill,Ed Sheeran,3623398,2017-01-20,global,
2017-01-20,4,Starboy,The Weeknd,3548783,2017-01-20,global,
2017-01-20,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3435556,2017-01-20,global,
2017-01-20,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3356389,2017-01-20,global,
2017-01-20,7,Closer,The Chainsmokers,2925703,2017-01-20,global,
2017-01-20,8,I Feel It Coming,The Weeknd,2717602,2017-01-20,global,
2017-01-20,9,Say You Won't Let Go,James Arthur,2708233,2017-01-20,global,
2017-01-20,10,Don't Wanna Know,Maroon 5,2637503,2017-01-20,global,
2017-01-21,1,Shape of You,Ed Sheeran,7057075,2017-01-21,global,
2017-01-21,2,Paris,The Chainsmokers,3899861,2017-01-21,global,
2017-01-21,3,Castle on the Hill,Ed Sheeran,3518245,2017-01-21,global,
2017-01-21,4,Starboy,The Weeknd,3439943,2017-01-21,global,
2017-01-21,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3404081,2017-01-21,global,
2017-01-21,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3299577,2017-01-21,global,
2017-01-21,7,Closer,The Chainsmokers,2900344,2017-01-21,global,
2017-01-21,8,I Feel It Coming,The Weeknd,2668560,2017-01-21,global,
2017-01-21,9,Say You Won't Let Go,James Arthur,2645060,2017-01-21,global,
2017-01-21,10,Don't Wanna Know,Maroon 5,2628862,2017-01-21,global,
2017-01-22,1,Shape of You,Ed Sheeran,6423764,2017-01-22,global,
2017-01-22,2,Paris,The Chainsmokers,3533867,2017-01-22,global,
2017-01-22,3,Castle on the Hill,Ed Sheeran,3179468,2017-01-22,global,
